R,M,P
0.013395707245207989,4.116076490795173e-09,1.2973005536757682e+27
0.013801637767790052,4.501604072263292e-09,1.2973001738550553e+27
0.014207568290372114,4.9104864922857246e-09,1.2972997826803324e+27
0.014613498812954174,5.343410650520614e-09,1.2972993801520386e+27
0.015019429335536235,5.801063445986759e-09,1.2972989662705784e+27
0.015425359858118297,6.2841317770453815e-09,1.2972985410363269e+27
0.015831290380700358,6.793302541381887e-09,1.29729810444963e+27
0.016237220903282418,7.329262635987632e-09,1.29729765651081e+27
0.01664315142586448,7.892698957141693e-09,1.2972971972201668e+27
0.01704908194844654,8.484298400392629e-09,1.2972967265779798e+27
0.017455012471028604,9.10474786054024e-09,1.2972962445845106e+27
0.017860942993610664,9.754734231617356e-09,1.2972957512400028e+27
0.018266873516192723,1.0434944406871572e-08,1.2972952465446864e+27
0.018672804038774787,1.1146065278747035e-08,1.2972947304987767e+27
0.019078734561356846,1.1888783738866213e-08,1.2972942031024768e+27
0.019484665083938906,1.2663786678011638e-08,1.2972936643559775e+27
0.01989059560652097,1.3471760986107702e-08,1.2972931142594596e+27
0.02029652612910303,1.4313393552202396e-08,1.297292552813094e+27
0.02070245665168509,1.5189371264449096e-08,1.2972919800170426e+27
0.021108387174267152,1.610038101008833e-08,1.2972913958714583e+27
0.021514317696849212,1.7047109675429524e-08,1.297290800376488e+27
0.021920248219431275,1.8030244145832787e-08,1.29729019353227e+27
0.02232617874201334,1.9050471305690683e-08,1.2972895753389368e+27
0.022732109264595395,2.010847803840997e-08,1.2972889457966146e+27
0.023138039787177454,2.1204951226393382e-08,1.2972883049054238e+27
0.023543970309759518,2.2340577751021437e-08,1.2972876526654802e+27
0.02394990083234158,2.3516044492634125e-08,1.2972869890768938e+27
0.02435583135492364,2.473203833051272e-08,1.2972863141397715e+27
0.024761761877505704,2.5989246142861564e-08,1.2972856278542136e+27
0.025167692400087763,2.7288354806789793e-08,1.2972849302203198e+27
0.025573622922669827,2.8630051198293128e-08,1.297284221238183e+27
0.025979553445251883,3.0015022192235644e-08,1.2972835009078947e+27
0.026385483967833946,3.144395466233153e-08,1.2972827692295422e+27
0.026791414490416006,3.291753548112686e-08,1.2972820262032105e+27
0.02719734501299807,3.443645151998133e-08,1.297281271828981e+27
0.02760327553558013,3.6001389649050094e-08,1.2972805061069336e+27
0.028009206058162192,3.7613036737265463e-08,1.2972797290371446e+27
0.028415136580744255,3.927207965231872e-08,1.2972789406196884e+27
0.02882106710332631,4.0979205260641847e-08,1.297278140854638e+27
0.02922699762590837,4.2735100427389324e-08,1.2972773297420627e+27
0.029632928148490435,4.454045201641987e-08,1.2972765072820318e+27
0.030038858671072498,4.639594689027826e-08,1.2972756734746116e+27
0.030444789193654558,4.8302271910177025e-08,1.297274828319867e+27
0.03085071971623662,5.026011393597826e-08,1.2972739718178614e+27
0.031256650238818684,5.227015982617541e-08,1.2972731039686569e+27
0.03166258076140074,5.433309643787497e-08,1.2972722247723136e+27
0.032068511283982803,5.644961062677835e-08,1.2972713342288913e+27
0.03247444180656486,5.862038924716354e-08,1.2972704323384478e+27
0.03288037232914692,6.084611915186692e-08,1.2972695191010398e+27
0.03328630285172898,6.31274871922651e-08,1.2972685945167233e+27
0.03369223337431105,6.546518021825657e-08,1.2972676585855523e+27
0.03409816389689311,6.785988507824347e-08,1.297266711307581e+27
0.03450409441947517,7.031228861911356e-08,1.2972657526828624e+27
0.03491002494205723,7.282307768622168e-08,1.2972647827114478e+27
0.03531595546463929,7.539293912337175e-08,1.2972638013933895e+27
0.035721885987221355,7.802255977279845e-08,1.2972628087287368e+27
0.036127816509803415,8.071262647514899e-08,1.29726180471754e+27
0.036533747032385475,8.346382606946488e-08,1.2972607893598478e+27
0.036939677554967534,8.62768453931638e-08,1.2972597626557088e+27
0.0373456080775496,8.915237128202109e-08,1.297258724605171e+27
0.037751538600131654,9.209109057015192e-08,1.2972576752082816e+27
0.03815746912271372,9.509369008999265e-08,1.2972566144650872e+27
0.03856339964529578,9.81608566722829e-08,1.2972555423756334e+27
0.03896933016787784,1.0129327714604719e-07,1.297254458939967e+27
0.0393752606904599,1.0449163833857668e-07,1.2972533641581332e+27
0.039781191213041966,1.0775662707541104e-07,1.2972522580301766e+27
0.040187121735624026,1.1108893018032015e-07,1.2972511405561419e+27
0.040593052258206086,1.1448923447528587e-07,1.2972500117360734e+27
0.04099898278078815,1.1795822678048385e-07,1.2972488715700147e+27
0.041404913303370205,1.2149659391426518e-07,1.2972477200580098e+27
0.04181084382595227,1.2510502269313834e-07,1.297246557200102e+27
