xi: Dimensionless distance
theta: Dimensionless pressure T
M: Dimensionless mass M


xi	theta	M
0.000610000000000001	0.9999935276069553	9.50895881178109e-10
0.000620000000000001	0.9999933133597507	9.98427705726949e-10
0.000630000000000001	0.9999930956273732	1.0475177287382414e-09
0.000640000000000001	0.9999928744098473	1.098191081404007e-09
0.0006500000000000011	0.9999926497071969	1.150472894866283e-09
0.0006600000000000011	0.9999924215194447	1.2043883002163308e-09
0.0006700000000000011	0.9999921898466124	1.2599624284938418e-09
0.0006800000000000011	0.999991954688721	1.3172204106861441e-09
0.0006900000000000012	0.9999917160457908	1.3761873777274099e-09
0.0007000000000000012	0.9999914739178412	1.4368884604978607e-09
0.0007100000000000012	0.9999912283048907	1.499348789822975e-09
0.0007200000000000012	0.9999909792069576	1.563593496472695e-09
0.0007300000000000013	0.999990726624059	1.629647711160632e-09
0.0007400000000000013	0.9999904705562119	1.6975365645432747e-09
0.0007500000000000013	0.9999902110034325	1.7672851872191944e-09
0.0007600000000000013	0.9999899479657365	1.8389187097282525e-09
0.0007700000000000014	0.999989681443139	1.9124622625508066e-09
0.0007800000000000014	0.9999894114356549	1.9879409761069173e-09
0.0007900000000000014	0.9999891379432984	2.065379980755555e-09
0.0008000000000000014	0.9999888609660832	2.1448044067938065e-09
0.0008100000000000015	0.9999885805040228	2.2262393844560808e-09
0.0008200000000000015	0.9999882965571304	2.309710043913318e-09
0.0008300000000000015	0.9999880091254184	2.395241515272193e-09
0.0008400000000000016	0.9999877182088993	2.4828589285743234e-09
0.0008500000000000016	0.9999874238075851	2.572587413795478e-09
0.0008600000000000016	0.9999871259214874	2.6644521008447802e-09
0.0008700000000000016	0.9999868245506177	2.758478119563917e-09
0.0008800000000000017	0.9999865196949871	2.8546905997263442e-09
0.0008900000000000017	0.9999862113546064	2.9531146710364944e-09
0.0009000000000000017	0.9999858995294861	3.053775463128982e-09
0.0009100000000000017	0.9999855842196367	3.156698105567812e-09
0.0009200000000000018	0.9999852654250682	3.2619077278455853e-09
0.0009300000000000018	0.9999849431457905	3.3694294593827046e-09
0.0009400000000000018	0.9999846173818132	3.4792884295265827e-09
0.0009500000000000018	0.999984288133146	3.5915097675508486e-09
0.0009600000000000019	0.999983955399798	3.706118602654554e-09
0.0009700000000000019	0.9999836191817784	3.82314006396138e-09
0.000980000000000002	0.9999832794790959	3.942599280518843e-09
0.000990000000000002	0.9999829362917595	4.064521381297504e-09
0.001000000000000002	0.9999825896197777	4.188931495190172e-09
0.001010000000000002	0.999982239463159	4.315854751011113e-09
0.001020000000000002	0.9999818858219117	4.4453162774952554e-09
0.001030000000000002	0.999981528696044	4.577341203297397e-09
0.001040000000000002	0.9999811680855638	4.711954656991413e-09
