R,M,P
0.07550307720026334,7.36665445421748e-07,1.297110493025991e+27
0.07590900772284541,7.48610585529161e-07,1.2971083772787886e+27
0.07631493824542747,7.606841542777039e-07,1.2971062501896495e+27
0.07672086876800953,7.728868381967825e-07,1.2971041117586254e+27
0.07712679929059159,7.852193238117274e-07,1.2971019619857697e+27
0.07753272981317365,7.976822976437711e-07,1.297099800871135e+27
0.07793866033575571,8.102764462100271e-07,1.2970976284147752e+27
0.07834459085833777,8.230024560234673e-07,1.2970954446167434e+27
0.07875052138091983,8.35861013592901e-07,1.297093249477093e+27
0.07915645190350189,8.488528054229535e-07,1.297091042995878e+27
0.07956238242608395,8.61978518014043e-07,1.2970888251731526e+27
0.079968312948666,8.752388378623612e-07,1.2970865960089718e+27
0.08037424347124807,8.886344514598498e-07,1.2970843555033894e+27
0.08078017399383013,9.021660452941792e-07,1.2970821036564606e+27
0.08118610451641219,9.158343058487272e-07,1.2970798404682402e+27
0.08159203503899425,9.296399196025576e-07,1.2970775659387834e+27
0.08199796556157632,9.435835730303969e-07,1.2970752800681465e+27
0.08240389608415838,9.57665952602615e-07,1.2970729828563844e+27
0.08280982660674044,9.718877447852016e-07,1.2970706743035534e+27
0.08321575712932248,9.86249636039746e-07,1.2970683544097095e+27
0.08362168765190454,1.000752312823414e-06,1.2970660231749094e+27
0.08402761817448662,1.0153964615889268e-06,1.2970636805992093e+27
0.08443354869706868,1.0301827687845404e-06,1.297061326682667e+27
0.08483947921965074,1.0451119208540222e-06,1.2970589614253388e+27
0.0852454097422328,1.0601846042366306e-06,1.297056584827282e+27
0.08565134026481487,1.0754015053670922e-06,1.2970541968885555e+27
0.08605727078739693,1.090763310675581e-06,1.2970517976092159e+27
0.08646320130997899,1.106270706587697e-06,1.2970493869893214e+27
0.08686913183256104,1.1219243795244439e-06,1.2970469650289304e+27
0.0872750623551431,1.1377250159022067e-06,1.2970445317281017e+27
0.08768099287772517,1.1536733021327322e-06,1.2970420870868942e+27
0.08808692340030723,1.1697699246231047e-06,1.297039631105367e+27
0.08849285392288929,1.186015569775727e-06,1.297037163783578e+27
0.08889878444547135,1.2024109239882963e-06,1.2970346851215888e+27
0.08930471496805342,1.2189566736537836e-06,1.2970321951194575e+27
0.08971064549063548,1.2356535051604137e-06,1.297029693777245e+27
0.09011657601321753,1.2525021048916393e-06,1.2970271810950115e+27
0.09052250653579959,1.2695031592261243e-06,1.2970246570728168e+27
0.09092843705838165,1.2866573545377183e-06,1.297022121710722e+27
